序号	语料
62		 ꁨꀑꑊ/r ꄷ/v ：/w ꀋꉊꄹꈎ/nt ꀙꏢ/ns {ꌤ}ꅐ/v ꃆꃶꑖꋩ/n ꀋꇎ/c ꉈꑴꁏ /n ꁢꊧꑞ /d ꀱ/p  [ꅽ] /r ꇮꑳ /n ꏤꃼ/v ꀉꒌꁣꏖ/v ꀉꉙꀉꇨ/a ，/w ꀁꉘꀉꁘ /nhs ꅇꀱ /v ：/w "/w ꀉꁁꃼꇇ/j ꀒ /vl ꃹ /d ꃼꇇꃅ/v ，/w ꀉꁁꃼꇇ/n ꀨ /d ꃑ ꃅꄡ/v ꀋꎪ/u ꀒ /vl ꀉꇖꐨ/n ꀋꇎ/c ꋈꄻꏤꈉ /nt 。/w "/w 
63		 ꉠ/r ꀱꄷ/v ：/w '/w  [ꅽ] /r ꀒ /vl ꀋꂿꑘ/vu ꉠ/r ꀋꎪ/u ꅐꇐ/n ，/w {ꇇ}ꀯꀒ /c ꀉꄉ/v ꉠ/r ꀋꎪ/u ꇮꑳ /n ꏃ/n ？/w '/w 
64		 "/w ꎼꈎ /nt ꈎꏮ/nt ꄮꇬ /nt ，/w ꑣꇤ/ns ꀉꁁꋍꑵ /m ꂒꅉ /q ꀉꁁꃼꇇ/n ꄮꀞ ꀑꑊ/n ꂯꄉ/p ꉠ/r (ꅇ)ꉉ/v ꂫꇽ /u ꂶꂷꅇ /n ：/w "/w ꌧ/m ꀉꄂ/q ꁨ/v ꃅꑘ/n ꃑ ꁍ /n ꀋꎪ/u ꏹꑮ /n ꇮꑳ /n ，/w  [ꅽ] (ꃶ)ꊈ/r ꀋꎪ/u ꀉꇖꐨ/n ꀉꑌꃅ/n ꄚꇬ ꀉꄂ/r ！/w 
65		 ꇬ/r ꄐꁖ/v ，/w ꀋꂿꑘ/vu ꃹ /p ꃅꑘꂘꇐ/n {ꄉ}ꄐ/nd ꌬ/v ꈍꀉꄂꌧꃆꀻꎆ/n ꀉꁁꋍꑵ {ꀀ}ꄓ/d ꁭ/v ꀋꎪ/u ꀋꉬꀋꉆ/a ꄐꁧꍪ/v ...ꇰꊏ /n ，/w ꀋꂿꑘ/vu ꀋꇈ /p "/w ꉆꉬ/j "/w ꄐꎖ/n ꀋꇎ/c ꇎꃅꈎ /nt ꄐꎖ/n ꁱꁢꊧ/v ꃅꑘꂘꇐ/n ꀋꎪ/u ꉆꅉ/n 、/w {ꃢꈜ}ꈚ  [ꅽ] /r {ꄉ}ꄐ/nd ꁨ/v ꉠ/r ，/w ꉠ/r {ꄉ}ꄐ/nd ꁨ/v  [ꅽ] /r ；/w ꀋꂿꑘ/vu ꀋꇈ /pꐯꌟ /v ，/w ꑌꇐꉙꂘ/n ꁢꊧ/vl ꑌꇐꉙꂘ/n ，/w ꁱꂘ /v ꇎꏦꑟ/a ꀋꎪ/u ꅉꀞ ꉪꏦ/n ꀨꎹꀐ /n ꀋꎪ/u ꆦ ꀑꑊ/n ꀋꇎ/c ꑘꁨꊿ/n 。/w 
66		 ꆫꄓꂿꄓ/v ꒃ/v ꁨ/v ꉈ/v ꀋꎪꀋꑴ/vu  [ꅽ] /r {ꉌꂵ}ꑌꃅꄡ/a ꂽꄻ/v 
67		 ꀜꐓ ꒈꀑꑤꊖꏂꇉꆏ ꁡꇤ/ns ꂽꃌꂽꌺ /n ꍔꀉꏵ /nh ，/w ꃹ /p ꁰꄻ ꁳ /v ꄤꎭ ꃶꏢ ꂽ/ni ꂽꄻ/v ꀋꎪ/u ꀉꑳꀄꊭꌠ/n ꍔꀄꊭꌠꂷ/nh ꀋꎪ/u ꀋꎪ{ꄉ}ꄐ/nl (ꅇ)ꉉ/v ：/w "/w ꍔꃚ/n ꀱ/p ꀊꋨꄮ/r ꂽꃌꂽꌺ /n ꀿꃶ/p ꂱꑱ...ꇰ{ꈐ}ꉈ/n ꃑ ꃅꄡ/v 、/w ꀨꎹ/v ，/w ꆫꄓꂿꄓ/v ꒃ/v ꁨ/v ꉈ/v ，/w ꉘꇉ/v  [ꅽ] /r ꃹ /p ꂽ/n {ꉌꂵ}ꑌꃅꄡ/a ꂽꄻ/v ，/w ꀋꇊ{ꂒ}ꋉ/v ꑆꊋꅐ/v ꈁꁠꊌ /v 。/w "/w 
68		 ꑤꀋꄚ/j ꄯꒉꁱꌠ/n ꀊꂥꂷ/nh ꃹ /p ꎭꃚ{ꂽ}ꍆꁍꀀꃅ/ns ꀍꑐꀋꃋ/v ꂽꃌꂽꌺ /n ꄏꁱ/nh ꀋꎪ/u (ꀋꃋ)ꃝꀄꊭꌠ/n {...}ꌠꉨ/c ꆅ/v ꉹꁏꀉꋒ/n ꃑ ꊨꆅ /n ꀉꉙꄎ/vu ꀁꋌꃄꁕ/v ，/w ...ꄮꀋꃉ/d ꀱ/p ꀀꃅ/n ꇥꀯ/n (ꅇ)ꉉ/v ：/w "/w ꅳꁖꀁꋌ/nt ꃅꑌ ꁊ/v ꀋꃉ{ꂽ}ꏃ/d {ꐻ}ꐯꄑ /v ，/w ꋌ/r ꀁꇬ{ꂱꑱ}ꃅꄷ/nl ꀥ /v ꀉꉙꁖ/v ꀑꑊꇇꁈ/n ，/w  [ꅽ] (ꃶ)ꊈ/r ꀋꂿꑘ/vu ꅑꀵꀉꇨ/v ꊢ ꀑꑊ/n ꐳꃅ/d ꀒ/p ꇓ ꀁꇬꁡꇤꉹꁏꀉꋒꑱꑼ /ni ꏓꐊꁍ /v ，/w ꁭꃛ /v ꀋꃋꁨ /n ꁳ /p ꋌ/r ꆄꄻ/v ，/w ꁉ ꀋꌗ/v ꁒꐀꀑꑊ/n ꀋꎪ/u ꊋꋠ/a 。/w "/w 
69		 ꀉꄂ ꀒ /c ，/w ...ꄮ/p ꉠ(ꃶ)ꊈ/r ꊫꄉ/v ꄌ/v ꍑꈜꒈꀑꀋꈁ/ns ꏮꐎ/n ꀋꎪ/u ꇥꀯ/n ꂽꑼ /n ꀋꃋ/nt ，/w ꃆꂮꅉꐚ ꆹ/n ꀋꇈꃅ /d ꀒ /vl ꀉꑌꀊꏀ/n ꀉꁁꋍꑵ /m ꁆ /n ：/w "/w  [ꅽ] (ꃶ)ꊈ/r ꀉꁁꋍꑵ ꀋꎪ /d ꀋꂿꑘ/vu ꀎꀎ/d ꁰꄻ /v ꀉꁁꋍꑵ /m ꁰꄻ /v ꉠ(ꃶ)ꊈ/r ꋂ...ꅉ /n ꀋꎪ/u {ꉌꊭ}ꉱ/nhf ꈏꌩꀋꄚ/j ꀋꇎ/c ꀅꌳꃅ/nhf ...ꅉ ꀉꒉ/n ！/w "/w 
70		 {ꆅ}ꌒꀒ /c ꉁꀠ/n ，/w  [ꅽ] /r {ꆅ}ꌒ...ꋻ/d ...ꇬꉜꀈ꒜ /v ꋂꁠꈪ/n ꀞꅀ/k ？/w 
71		  [ꅽ] /r {ꆅ}ꌒ{ꉌꂵ}ꐯꇯꌠ/v ꀊꄶ/r ꃪ/v ꋂ/n ꀑꑊ/n ꀒ /vl ꈍꃅ/r ꅲꇫꁱ/v ꀋꇎ/c ꇫꐥ/v ꀋꎪ/u ꀞꅀ/k ？/w 
72		 ꀉꁁꋍꑵ ꂽꊭ/mq ꀉꈠ ꁏ/n ꀋꐛꀈ꒜ /v ，/w ꉠ(ꃶ)ꊈ/r ꊭꃈꄵ /d ꂿꉂꄌ/v ，/w ...ꇨ/h ꀅꌳꃅ/nhf ꀋꎪ/u ꀧ/nd ꀁꉘꁱꆽ/n ...ꋻ/d ꃹ /p ꀉꁁꋍꑵ /m ꀉꁘ/q ꃄꄻ/v {ꄉ}ꄐ/nd ꀀꀨ/p ꄃꀋꎪ /v ꀈ꒜ /u ，/w ꀽ/d ꃣꁧꃅꄡ/v ꃄꁕ/u (ꅇ)ꉉ/v ：/w "/w ꀅꌳꃅ/nhf ...ꅉ ꀉꒉ/n ，/w  [ꅽ] /r ꀋꎪ/u ꁱꆽ/n ꄉꄐ ꀈ꒜ /v ꀙ /n ，/w ꀁꉘꃅꄡ/v {ꃢꈜ}ꈚꀉꈠ /v 。/w "/w 
73		 ꂫꏓꐊ/j ꀋꎪ/u ꐋꀨ/n ...ꇬꉜ...ꄯꒉ/v ꃅꄡꆅ /v ꃄꁕ/u (ꅇ)ꉉ/v ：/w "/w {ꆅ}ꐛꀒꁨꆹ /v ꏮꇉꀨꄂ/n ꀞ/u ，/w ꉠ(ꃶ)ꊈ/r ꀉꄂꀒ /d {ꇓꂵ}ꐔ/v ꀐꍰ/d ꀋꂿꑘ/vu ꀋꇈ /p  [ꅽ] (ꃶ)ꊈ/r {ꇓꂵ}ꐔꄌ/v ꀍꅦꇓ/n 。/w "/w 
74		  [ꅽ] /r ꅉꐚ/v ꀞꅀ/u ？/w 
75		 《/w ꉘꇉ /v 》/w ꀒ /vl ꀨꁵ/p ꀑꑊ/n ꉩ /v ꀋꎪ/u ，/w ꀊꋨꄮ/r ...ꈭꐨ/d {ꋚ}ꃅ/v ꀉꄂ/q ꀨꁵ/p ꀑꑊ/n ꇿ/v ꀋꎪ/u ，/w ꀉꄂꀒ /d  [ꅽ] (ꃶ)ꊈ/r ꄚꇬ /r ꁥ /n ꀉꑳ/k ꀋꂿꑘ/vu {ꌞꏯ}ꏂ/v ꀋꎪ/u 《/w ꄻꁱꅉꇬ/n ꀋꎪ/u ꀉꆹꀨꎹ/n 》/w 。/w 
76		 ꉠ(ꃶ)ꊈ/r ꎏꏻ /v ꑭꄚ/v ꃄꁕ/u ꀖ ꁌ/v ꁨ/v  [ꅽ] (ꃶ)ꊈ/r ꄌ/v ꄚꇬ ꀉꑳ/r ꀑꂥ/vd ，/w ２４/m ꀁꉘꀋꃋ/q ꅐ/p ꒉꊸ/n (ꇭꀧ)ꋌ/n 、/w ꀎꋛꋚ/n ꀨꎹ/v {ꃢꈜ}ꈚ/u 。/w 
77		 ꀞꊥ /n ꀋꎪ/u ꀑꁮꅺꐚ/a ，/w ꀉꇨꃅꁻꃑꌠꃅꄡ/a ，/w ꁱꐭ /n ꀉꏮꀁꀒꁨꆹ /v ꄟ /n ꀉꑳ/k ，/w ꈀꄸ ꂷ/r ꄻ/p ꇬ/r {ꐻ}ꐯꆣ/v ꀐꍰ/d ꀉꉙꃹ ꀋ/v ，/w ꀉꁁꋍꑵ /d ꀉꉙ/d ꋓꉪꁨ/v {ꇇ}ꀯ/d ꀉꄂ/d ꀋꇈ /p  [ꅽ] /r ꃢꈜ/v ...ꇬꊐꁧ /vd ；/w ꀋꃋꀋꎪ/n ꀐꍰꀒ /vl ꀑꑊꀊꌃ/n ꀉꑳ/k ，/w ꇫꐥ/n ꀒꁨꆹ /nd ꇿ /v {ꋚ}ꃅ/v {ꀍ}ꉞ /q ꃄꎭꁆ /n 。/w 
78		 "/w  [ꅽ] (ꃶ)ꊈ/r ꄿꐨ(ꅇ)ꉉ/v ꂫꇽ /u ꀞꅀ/u ？/w 
79		 ꇎꀉꁁꋍꑵ ꃰꇌꈭ/nt ꀋꎪ/u ꀉꁁꋍꑵ ꂿꃅ/nt ，/w ꉠ(ꃶ)ꊈ/r ꅱꁱ /v ꀋꃋ/nt ꄷ/v ꇬ/r ：/w "/w ...ꇨ/a ꄈꅉ ꀉꒉ/n ，/w  [ꅽ] /r ꀁꇬ/n ꀧ/v ꂫꇽ /u ꀉꑌꀂꉗ/m ꃄꅉ /n ？/w "/w 
80		 ꇬ/r ꀱ/p ꈍ/m ꀉꄂ/q ꀉꑳꀄꊭꌠ/n (ꅇ)ꉉ/v ：/w "/w  [ꅽ] (ꃶ)ꊈ/r ꄉꀉꄂ/r ꀜꐓ {ꉌꊭ}ꉱ/v ，/w ꉠ/r ꀉꉙ/d {ꒉ}ꅑ ꇇꁈ/v ，/w ꀉꁁꋍꑵ /d {ꒉ}ꅑ ꇇꁈ/v ，/w ꀋꂿꑘ/vu ...ꌹꍈ /v ꀉꉙꀂꉗ/a ꂿꃅ/nt 功夫/n ，/w ꀋ/v ꀊꄶ/r ꀋꃋꁨ /n 。/w "/w 
81		 ꇬ/r ꄌꀁꇬ/v ，/w ꀉꏮ/p ...ꇨꐊ/n ꂁꄉꉉ/v ：/w "/w ꉠ/r ꀱ ꀁꇬ/v ，/w ꀉꄂ/d ꀉꏮ/p ꄂ/v ꀉꂿꃤꃀ/n ，/w {ꆅ}ꄻ/v {ꆅ}ꄻ/v  [ꅽ] (ꃶ)ꊈ/r ꀉꄂ/d {ꄉ}ꄐ/v ꂫꇽ /u 。/w "/w 
82		 ...ꇨꐊ/n (ꅇ)ꉉ/v ：/w "/w ꀁꇬ{ꂱꑱ}ꃅꄷ/nl ꀋ/d ꄐꀋ ꇈ/v ꀈ꒜ /u  [ꅽ] /r ，/w  [ꅽ] /r ꁅ /d ...ꄮ/v ꀋꁨ/v ꄚꇬ ꀉꄂ/r ꀁꇬ/n 。/w "/w 
83		 ꎼꈎ /nt ꈎꏮ/nt ꇬ/r ꃹ ꀁꇬ/v ，/w ꀈ꒜ /v ꂫꇽ /u ꀊꌃꃰꇌꈭ/nt ꀏꌒ/nt ꀋꂿꑘ/vu ꀱ /v ꄈꅉ /n ，/w ...ꇨꐊ/n ꀊꁣ /v ꀊꏀ/q ꂿꃅ/n (ꅇ)ꉉ/v ：/w "/w ...ꇨꀏꀄꊭꌠ/n ，/w ꇎꉆ/m ꃅꈎ/q ...ꇬꊐ/v  [ꅽ] /r ꃷ/nhf ꀁꇬꀃꈈ/n ，/w ꎼꈎ /nt ꉬꇎꉆ/m ，/w ꀉꏮ/p  [ꅽ] /r ꀈ꒜ /vd ꌧꇎ/m ꀉꄂ/q ꃅꈎ ꀏ/nt ꂫꇽ /u 。/w 
84		  [ꅽ] /r ꀍꇤ /p ꉬꉬ/m ꃅꈎ /nt ꀉꄂ/d ꁖꀃꈈ/v ꃹ ꀉꁁ/v ，/w ꑍꑵꇎꏃ/m ꃅꈎ /nt ꂫꇽ /u 。/w 
85		 ꀞꐕ/v  [ꅽ] /r ꀉꁁꋍꑵ /m ꃅꈎ /nt ꀱ ꀁꇬ/v ꀉꁁꋍꑵ ꀉꄂ/mq ꃰꇌꈭ/nt ，/w ꂭ /v {ꀀ}ꄓꀑꂥ/vd ꑍꑵꇎꏃ/m ꀉꄂ/q ꃰꇌꈭ/nt ，/w ꀉꏮ/p  [ꅽ] /r ꀋꃉ/d ꀉꁁꋍꑵ {ꀀ}ꄓ/d ꀈ꒜ ꀋꉊꀄꊭꌠ/v ꀉꄂ/d ꈍ/m ꃅꈎ /nt ꀈꈥ/m ꌒ/m ꀉꄂ/q ꃰꇌꈭ/nt 。/w "/w 
86		 ꃷꀉꑌ/nh ꄿꐨ/v {ꃢꈜ}ꈚ/u ꄿꐨ/v {ꃢꈜ}ꈚ/u ，/w ꀉꑌ/a ꃅꑍꈮꁁ /nt ꀉꄂ/d {ꐻ}ꐯꀊꏀ/v ：/w "/w  [ꅽ] /r ꀿꏅꌐꀁ/v ꀈꄼ/a ，/w ꉠ/r ꃅꄡ{ꂱꑱ}ꃅꄷ/nl ꁨꀉꑌꃅ/a 。/w 
87		  [ꅽ] /r ꀐꍰ/d ꀁ/vu ꂿꉂ/v ꂿꉂ/v ，/w ꀉꁘꅉꀞ /n ，/w ꉠ/r ꁳ /p ꃄꁕꀀꁈꄰ /n {ꆼꁠ}ꈢꀋꌦꃅ/v 。/w 
88		 ꄚꇬ ꀋꃋ/r ，/w ꄊꄐ /n ꄈꍝꀯ /n ꄯꒉꁱꌠ/n ꀊꋾ {ꏤꐪ}ꍬ ꁦꎆ/nh ꀑꂥꄌ/v ꆀ...ꅉ /n ，/w ...ꇬꉜ/v ꀑꐎꐂꆀ/nh ꀊꌃꃹ /d ꃃꃄꁕ/v ，/w ꂿꉂꄌ/v ꇬ/r ꃅꈎ /nt ꀁꎴ /v ꏃ/m ꊰꑋ /nt ，/w ꀉꁁ/d ꆅꁨ/v ꀁꈈꆅ /n ，/w ꂿꃅꀧꆅ /n ꆌ /u ꀉꇨ ꁒꐀ/n ，/w ꃅꄡꆅ /v ꃄꁕ/u (ꅇ)ꉉ/v ：/w "/w (ꅇ)ꉉꀈ꒜ /v  [ꅽ] /r ꀉꑌꀂꉗ/r ꈭ /q ，/w ꀉꄂꀒ /d ꀉꉙ/d ꄿꐨ/v 。/w 
89		  [ꅽ] /r ...ꇨꀒ /d ꄚꇬ ꇷꉻ/r ꀈꃛ /v ，/w ꈯꄿ /n ꃹ ꀁꈉ /i ꀞꅀ/u ？/w "/w 
90		 ꇬ/r ꄙ/d ꇿ/v ꇿ/v (ꅇ)ꉉ/v ：/w "/w ꀑꑊ/n ，/w ꉈ/v ꀋꎪ/u ꀒ /vl ꃅꄡꄟ /n ，/w  [ꅽ] /r ꀋꄸꄷꀒ /c ꀉꉙ/d ꀨꁵ/p ꉠ/r ꀧ/v ꄚꇬ ꈨ /r ꀨꎹ/n ，/w ꀀ /v ꀉꉙꂫꇽ /v ꈍ/m ꂿꃅ/nt ，/w ꀉꉙ/d ꎍꀱ/v ꀉꄂ/d ꀋꀵꀕ/a ꂼ/u ！/w "/w 
91		 ꁨꀑꑊ/r ꀉꉙ/d ꀞ ꁉ /v ，/w ꄷ/v ꇬ/r ：/w "/w  [ꅽ] /r ꀁꇬ{ꂱꑱ}ꃅꄷ/nl ꁌ/n ꀉꑌ/a ꂫꇽ /u ꀘ/v ꇇꁈ/n ꀊꀒ/u ？/w 
92		 ꄜꀉꇨ/nhs ꌺꑮꃀ/n ꄷ/v ꈍꃅ ꀞꅀꀱ ꀨꎹ/n ，/w ꇬ/r (ꅇ)ꉉ/v ：/w "/w ꄜꀉꇨ/nhs ꅉꐚ/v ，/w  [ꅽ] /r ꁳ /v ꇬ/r ，/w ꇬ/r ꀉꄂ/d {ꉌꂵ}ꂄ ꀈꄼ/a ꂫꇽ /u 。/w "/w 
93		 ꀋꇈꀉꑌ/a ꇥꀯ/n ꁥꀉꑌ/n ꄀꇗ /v ꇬ/r (ꅇ)ꉉ/v ：/w "/w ꄚꇬ /r ꁨ /q ꏜꑳ/n ꂶꂷꃹ /d ꀋꁈ/v ꄉ/v ꂫꇽ /u ，/w  [ꅽ] /r ꀉꄂ/d ꀑꐱ/v ꁈꁧ/q ꀊꏀ/a ꀋꎪ/u ꀞ/u 。/w "/w 
94		 ꀉꁁꋍꑵ ꈨ /m ꅉꄐꇁꉚꀐ /n ꀋꎪ/u ꇥꀯ/n ꄿꐨ(ꅇ)ꉉ/v ꇬ/r ꀋꂿꑘ/vu ꀑꐱ/v ...ꑳ ꀄꊭꌠ/n ，/w ...ꃅꀥꀑꂥ/v ꀱ/p ꇬ/r (ꅇ)ꉉ/v ：/w "/w ꊖꀌꀠꉄꇓ/n ꀉꌙ/n ꂤꏂ/n ꉠ(ꃶ)ꊈ/r ꅐ/v ꌗ ꈪ/n 、/w ꃄꂿꏸ /n ꁳ /p  [ꅽ] /r ꄖ...ꇖꀑꂥ/v ，/w  [ꅽ] /r ꀉꄂ/d ꀞꐕ /d ꀧ/v ꂫꇽ /u 。/w "/w 
95		 ꀉꄂ ꀒ /c ，/w ꀊꄶꈨ /r ꀉꁁ/d {ꑋꅉ}ꐴꊛ/v ꂒꅉ/n ꀋꎪ/u ꁌꎴ/v ꀁꁧꂒꅉ /n ，/w ꂯ /d ꁨ/v ꂶꂷꄤ/n ，/w  [ꅽ] /r ꀉꉙ/d ꏮ /v ，/w ꌬꌩ/n ꀉꄂ/d ꅉꀕ/v ꀉꉙꀁ/vu 。/w 
96		 ꁨꀑꑊ/r ꀉꉙ/d ꀞ ꁉ /v ꃄꁕ/u ꄷ/v ꇬ/r ：/w  [ꅽ] /r ꑞꃅ /r {ꉌꂵ}ꑌꃅꄡ/a ꊢ /d ꀞ/v ꄚꇬ /r ꇗ /q ꀉꁁ/d ꀉꀠ/a ꀉꁁ/d ꀉꉙ/d ꁖ ꅳꁖ/a ꀋꎪ/u "/w ꀁꉘ/a ꁒꐀ/n "/w ꀋ /u ？/w 
97		 ꂷ ꎖꅇꁨ/a ꀋꎪ/u ꁨ ꁧꍪꆹ/n ꂶꂷꅿ ꀒꁨꆹ /nl ꂯ /d ꂿ ꀒ/v ꂫꇽ /u ꀍꑐꀖ /v ꀑꑊꀉꄂ/n ꀋꎪ/u ꋓ /v ，/w ꀉꄂ ꀧ/d ꄚꇬ /r ...ꅉ /q ꋓ /v ꀒ /vl ꀋꋓꀋꉪ /a ꀋꎪ/u ，/w ꁥꀉꑌ/n ꄙ/d ꃹ /p ꃅꄡ{ꂱꑱ}ꃅꄷ/nl ꂁꄉ ꄉ/d ꁳ /p  [ꅽ] /r ꀍꇤ ꁆꌠ/v ꂼ/u ！/w 
98		 ꁌ/v ꄚ /r {ꄉ}ꄐꇭꍣꄈ ꇭꍣꄈ ꀿ ꀀꁈꄰ ꂟ ꀈꆧ ꃅꈎ ꁙ /ni ꄜ {ꑋꅉ}ꐴꊛ/v ꏃꇎ/m ꆳꂾ ꃅꈎ /nt ꌋꆀ /c "/w ꉬꌧ/j "/w ꇙ ꅉꀕ/n ꏃꇎꌒ/m ꆳꂾ ꃅꈎ /nt 之ꅿ /nd ，/w {ꄉ}ꄐꇭꍣꄈ {ꄉ}ꄐꆏ/j ꂯꄉ/p  [ꅽ] (ꃶ)ꊈ/r ，/w ꀙ/c ꃅ ꀈ꒜ /p  [ꅽ] (ꃶ)ꊈ/r ꂯꄉ/p {ꇁ}ꋋꇭꍣꄈ /n ꀋꎪ/u ꇭꍣꄈ ꀈꆧ ꁙ /j ꉻꑫ /n ꀋꇎ/c ꀉꑌ ꀉꇨ/a ꁙ ꇥꀯ/n 、/w ꁙ ꂷ /n ꀈꆧ ꃅꈎ /n ꏭ/v ꀉꇨꃅꁻꃑꌠꃚ/a ꀋꎪ/u ꉌꇿꀮ/v ！/w 
99		 ꉠ/r ꀋꂿꑘ/vu ꅐ/p ꄚꇬ /r ꀗꊪ /q ꎧ/n ，/w ꄮ表/v ꀉꁁꋍꑵ ꃪ ꇑ ꀉꑌ/m ꂒꅉ/q ꆳꂾꇮꑳ /n ꇮꃅꊿ/n ꂯꄉ/p  [ꅽ] (ꃶ)ꊈ/r ꃅ /v ꈀꎭꀕ/v ！/w "/w 
100		 ꄚꇬ ꀋꃋ/r ，/w ꀉꁁꋍꑵ /m ꂒꅉ /q ꇇꅖ ꀑꑊ/n ꀱ/p ꀉꆹ ꀺ ꀋꈬ /nh (ꅇ)ꉉ/v ：/w "/w ꇮꑳ ꀉꒉ/n ，/w ꆏ/r ꁳ /p ꀊꋨꄮ/r ꁌꒉꎧ/v ，/w (ꅇ)ꉉ{ꉌꂵ}ꂄ /v  [ꅽ] (ꃶ)ꊈ/r ...ꄮ/v ꇥꀯ/n ꀋꎪ/u ꃅꄡ{ꂱꑱ}ꃅꄷ/nl ꁨ/v ꀊꋨꄮ/r ，/w ꃆꏂꊀ /nt ꁨ/v ꑞ /r ꀋꉆꀀꅉ/n ꀉꄂ ꀧ/d ꃚꋊ/v ，/w ꀊꋨꄮ/r ꁁꏯꆳꂾ/v ꇇꅖ ꀑꑊ/n ꀋꁨ/d ꀈꃛ /v ꀉꉙꂫꇽ /v ꀋꎪ/u ꀋꌦꃅ/n ！/w 
101		 ꄌꀋꃋꃅꄡ/v ，/w ꄿꐨ /c  [ꅽ] /r ꑌꊈ/v 、/w ꈼꀞ /v ，/w ꇭꍣꄈ ꀁꇬ/n ꀐꍰ/d ꉂ ꀋ ꄎꇇꀨ/i 。/w 
102		 ꄤꄌ/v ꈾꆀ/ni ꃹ /p ꀀꀨꅉꀕ/a ꀀꅉꃄꁕ /n {ꄉ}ꄐ/nd ꀥ ꀁ/v ꀀꁈꄰ ꅉꀕ/a ꀋꎪ/u ꄚꇬ /r ꄌ/q ꃅꋺ /n ，/w ꀊꋾ ...ꇬꉜꀑꁮ /nh ꇮꑳ ꀉꒉ/n ꀉꁁꁨ/v ꀉꁁꋍꑵ ꁁ/mq ...ꇬꉜꁉ /n ：/w "/w ꀿꃶ/p ꄐꎖ/n ꁱꉻꄹꏦ/n ꂯꄉ/p ꃷꅉ ...ꅉ /n ꁱꉻꄹꏦ/n ꄺꀱ /v ，/w ꀂꏾ ꑌꇐꉙꂘ/d ꀋꂿꑘ/vu ꄺꀱ/v ꄐꎖ/n ꁱꉻꄹꏦ/n ꀁꋌ/nd ꄟ ꀉꇨ/v ꈁꀨꎹ/nl ꆌ /v ꀒꁨꆹ ꊐ /n ꄐꀨ /v 、/w ꂯꄉ/p ꀒꁨꆹ ꊐ /n ꀋꂿꑘ/vu ꄐꎖ/n 、/w 
103		 １１/m ꃰꇌꈭ/nt ２１/m ꀋꉊ/nt ꀁꋌꂵꆤ /nt ...ꌹꍈ ꃅ ꀊꏀꀀꃅ/ns ꄈꀋꄚꄯꒉꁱꌠ/n ꀠ/v ꀊꎴꀄꊭꌠ/n ꁳ /p ꀀꈥ ꇮꑳ /n ꇮꑳ ꀉꒉ/n ꌧꇤꄧ /nh ：/w "/w ꇮꑳ /n ꁆꌠ/v ꇇꅖ ꄓ /n ꀐ /d ꀋꎪ /v ，/w ꁨ/v  [ꅽ] /r ꀋꎪ /d ꉻꑫ /v ꁳ ꁴ/p ꆳꂾ ꀉꁁꋍꑵ /nt ꀒꁨꆹ ꇇꅖ /v ，/w ꀋꉬꇬꆹ /c ꀀꃅ/n {ꂽ}ꏃ/d ꀖ {ꂒ}ꋉ/v ꀉꇨꄹꏦ/v ꏁꁈ/n "/w 。/w 
104		 ꄉꀴꆀꂄꎔ/nh ꀉꇨ ꀋꎪ /a ꃄꁕ/u (ꅇ)ꉉ/v ：/w "/w ꉠ/r ꀋꇙꀋꑐ /v ꀐꍰ/d ꀋꂿꑘ/vu ꀋꇎ/p  [ꅽ] (ꃶ)ꊈ/r ꃹ /v ꀉꁁꋍꑵ {ꀀ}ꄓ/n ；/w ꉠ/r ꀈꃛ /v ꀉꉙ/d ꅉꀕ/v ꂫꇽ /u ，/w ꀉꄂ/d ꄈꅉ /v ꃹ /p ꄚꇬ {ꂱꑱ}ꃅꄷ/r ；/w ꀋꃉꀋꄸꄷ/c ꀉꑌꃢꃅ /v ꀱ/v ꂫꇽ /u ，/w ꀐꍰ/d ꎍ/v ꃹ /p ꀉꇨꒉꇊꁨꈌ /n ꀒꁨꆹ /nd ！/w "/w 
105		 ꀋꇈꀉꑌ/a ꀈꆧ ꃅꈎ /n ꀗꄟ ꆹ/n ꃹ /p ꀑꂥꀋꎪ/v {ꄉ}ꄐ/nd ꈼꉉ /v ꂫꇽ /u ꀁꂱ/r ꀋꎪ/u ꀗꄟ ꁰꄟ/v ꃅꄡꀁ/n ，/w ꂿꆹ/c ꄜꅇ/v ꂫꇽ /u ꀁꂱ/r ꃅ ꀈ꒜ /p ꃅꋺ ꀗꄟ /v ꄚꇬ ꈨ /r ꁰꄟꄯꒉ/n ꃹ /p ꉂ ꂿꉂꀒꁨꆹ /nl 、/w ...ꑘꅉꀕ/n ꀒꁨꆹ /nd ꀋꎪ/u ...ꇬꊐꀯ/n ，/w ꁨꀋꎪ/r ꀗꄟ ꆹ/n {ꉂ}ꅼꃄꎭ/n ꃄꁕ/u ꀑꂥꀋꎪ/v (ꅇ)ꉉ/v ：/w “/w ꁱꋊꄻꍬ /n ꐋꀨ/n ，/w  [ꅽ] (ꃶ)ꊈ/r ꀋꇎ/c  [ꅽ] (ꃶ)ꊈ/r ꁰꄻ /v ꀋꎪ/u ꁰꄟ/n ，/w ꀉꒆꅉ/d ꀒ /vl ꉠ(ꃶ)ꊈ/r ꀋꎪ/u ꂘꂄꐋꂄ /i ！/w ”/w 
